Municipio,Latitud,Longitud,Nombre,Categoría,Distancia,Dirección
acebeda-la,41.0869583,-3.624399,La Posada de los Vientos,restaurantes,36,"Calle Encerradero, 2, 28755 La Acebeda Comunidad de Madrid"
acebeda-la,41.0869583,-3.624399,El Acebo,restaurantes,113,"Calle Puerto, 2, 28755 La Acebeda Comunidad de Madrid"
acebeda-la,41.0869583,-3.624399,Bar la Plazuela,bares,127,"Plaza de la Plazuela, 8, 28755 La Acebeda Comunidad de Madrid"
ajalvir,40.5342302,-3.4807818,Chiquitin,parques,333,Ajalvir Madrid
ajalvir,40.5342302,-3.4807818,Diverjungla,parques,563,"Calle Segovia, 20 (Pol. Ind. Donada), 28864 Ajalvir Comunidad de Madrid"
ajalvir,40.5342302,-3.4807818,Parque Infantil,parques,1724,
ajalvir,40.5342302,-3.4807818,Bar Manolo,restaurantes,58,"Plaza de la Villa, 5, 28864 Ajalvir Comunidad de Madrid"
ajalvir,40.5342302,-3.4807818,Jurassic Pan,restaurantes,148,"Carretera de Daganzo, 17, 28864 Ajalvir Comunidad de Madrid"
ajalvir,40.5342302,-3.4807818,Bar Julio's,restaurantes,257,"Calle Real, 1, 28864 Ajalvir Comunidad de Madrid"
ajalvir,40.5342302,-3.4807818,Restaurante el Timon,restaurantes,344,"Soria, 1, 28864 Ajalvir Comunidad de Madrid"
ajalvir,40.5342302,-3.4807818,Martinez Villa Antonio,restaurantes,404,"Calle Senderillo, 2, 28864 Ajalvir Madrid"
ajalvir,40.5342302,-3.4807818,Be Fast Pan & Pasteles,restaurantes,505,"Calle Segovia, 6, 28864 Ajalvir Comunidad de Madrid"
ajalvir,40.5342302,-3.4807818,Risi,restaurantes,1491,"Calle Severo Ochoa, 2, 28814 Daganzo de Arriba Comunidad de Madrid"
ajalvir,40.5342302,-3.4807818,Telepizza,restaurantes,1491,"Severo Ochoa Polígono Industrial Gitesa, 1, 28814 Daganzo de Arriba Comunidad de Madrid"
ajalvir,40.5342302,-3.4807818,El 22,restaurantes,1641,"Avenida Industrias, 2, 28814 Daganzo de Arriba Madrid"
ajalvir,40.5342302,-3.4807818,Zaino,restaurantes,1658,"Calle Franklin, 5, 28814 Daganzo de Arriba Comunidad de Madrid"
ajalvir,40.5342302,-3.4807818,Bar Julio's,bares,257,"Calle Real, 1, 28864 Ajalvir Comunidad de Madrid"
ajalvir,40.5342302,-3.4807818,Tempus Cervecería,bares,1711,"Avenida Circunvalación, 218, 28814 Daganzo de Arriba Madrid"
alameda-del-valle,40.9177178,-3.8438216,Bar Rufino,restaurantes,11,"Plaza Santa Marina, 1, 28749 Alameda del Valle Comunidad de Madrid"
alameda-del-valle,40.9177178,-3.8438216,Restaurante Taberna del Alamillo,restaurantes,157,"Calle de la Taberna, 26 (calle del alamillo), 28749 Alameda del Valle Comunidad de Madrid"
alameda-del-valle,40.9177178,-3.8438216,Restaurante el Colorao,restaurantes,219,"Travesía de Grande, 8, 28749 Alameda del Valle Comunidad de Madrid"
