Municipio,Latitud,Longitud
acebeda-la,41.0869583,-3.624399
ajalvir,40.5342302,-3.4807818
alameda-del-valle,40.9177178,-3.8438216
alamo-el,40.2307296,-3.9905893
alcala-de-henares,40.4818396,-3.3644973
alcobendas,40.5400082,-3.6358494
alcorcon,40.3492998,-3.8284295
aldea-del-fresno,40.3215212,-4.19936
algete,40.5961652,-3.4974246
alpedrete,40.6599005,-4.0251223
ambite,40.3289723,-3.1812115
anchuelo,40.4653862,-3.2689196
aranjuez,40.03221,-3.6039604
arganda-del-rey,40.3007708,-3.4380688
arroyomolinos,39.1855991,-6.1630632
atazar-el,40.9343489,-3.4710919
batres,40.2091393,-3.9215947
becerril-de-la-sierra,40.7163374,-3.9890681
belmonte-de-tajo,40.1336305,-3.3398654
berrueco-el,40.8889705,-3.5614344
berzosa-del-lozoya,40.9757802,-3.5236736
boadilla-del-monte,40.4053485,-3.8764663
boalo-el,40.7173359,-3.9202198
braojos,41.0400124,-3.6425888
brea-de-tajo,40.2302134,-3.1092543
brunete,40.4050499,-3.9979912
buitrago-del-lozoya,40.9953477,-3.6350501
bustarviejo,40.8587766,-3.7097632
cabanillas-de-la-sierra,40.8216089,-3.6259742
cabrera-la,13.3472446,144.7586507
cadalso-de-los-vidrios,40.3014283,-4.4408876
camarma-de-esteruelas,40.5497252,-3.3785043
campo-real,40.3381881,-3.3813911
canencia,40.9095894,-3.7375609
carabana,40.256626,-3.2347206
casarrubuelos,40.1707803,-3.8308526
cenicientos,40.2631894,-4.4669801
cercedilla,40.7412931,-4.0558002
cervera-de-buitrago,40.9211319,-3.5293404
chapineria,40.379164,-4.2097254
chinchon,40.1408293,-3.4231474
ciempozuelos,40.1580087,-3.6205514
cobena,40.5676083,-3.5048565
collado-mediano,40.6943707,-4.0247212
collado-villalba,40.6431496,-3.9930128
colmenar-del-arroyo,40.4179997,-4.1972768
colmenar-de-oreja,40.1074198,-3.3871634
colmenarejo,40.5607257,-4.0165248
colmenar-viejo,40.6587726,-3.7659722
corpa,40.4235374,-3.2652482
coslada,40.423802,-3.5552882
cubas-de-la-sagra,40.1908352,-3.8378366
daganzo-de-arriba,40.5451953,-3.45785
escorial-el,40.5890661,-4.147394873409854
estremera,40.1847306,-3.1062403
fresnedillas-de-la-oliva,40.486444,-4.1723486
fresno-de-torote,40.5922684,-3.4119681
fuenlabrada,40.282476,-3.7923422
fuente-el-saz-de-jarama,40.6312151,-3.5125918
fuentiduena-de-tajo,40.1185446,-3.160254
galapagar,40.5774992,-4.0037748
garganta-de-los-montes,40.9216084,-3.6866546
gargantilla-del-lozoya-y-pinilla-de-buitrago,40.96551504999999,-3.7077907634147276
gascones,41.0185654,-3.641499
getafe,40.3070639,-3.7331808
grinon,40.2136607,-3.8581479
guadalix-de-la-sierra,40.7822384,-3.7007794
guadarrama,40.6734454,-4.0893911
hiruela-la,41.0779223,-3.4552928
